iter	Passed	Remaining
1471	4509	7745
1472	4512	7742
1473	4516	7739
1474	4519	7736
1475	4521	7732
1476	4524	7728
1477	4527	7724
1478	4530	7721
1479	4533	7718
1480	4535	7714
1481	4538	7711
1482	4541	7707
1483	4543	7703
1484	4546	7700
1485	4549	7697
1486	4552	7693
1487	4555	7690
1488	4558	7687
1489	4561	7683
1490	4564	7680
1491	4566	7676
1492	4569	7673
1493	4572	7669
1494	4575	7666
1495	4578	7663
1496	4581	7659
1497	4583	7656
1498	4586	7652
1499	4589	7649
1500	4592	7646
1501	4595	7643
1502	4599	7640
1503	4602	7637
1504	4605	7634
1505	4608	7631
1506	4611	7628
1507	4614	7625
1508	4617	7621
1509	4620	7618
1510	4622	7615
1511	4625	7611
1512	4628	7608
1513	4631	7605
1514	4634	7601
1515	4637	7598
1516	4640	7594
1517	4643	7591
1518	4646	7588
1519	4649	7585
1520	4652	7582
1521	4655	7579
1522	4658	7576
1523	4661	7573
1524	4664	7570
1525	4666	7566
1526	4669	7562
1527	4671	7558
1528	4674	7554
1529	4677	7551
1530	4680	7547
1531	4682	7543
1532	4685	7540
1533	4688	7537
1534	4691	7534
1535	4694	7530
1536	4697	7527
1537	4700	7523
1538	4702	7520
1539	4705	7517
1540	4708	7513
1541	4711	7511
1542	4715	7508
1543	4717	7504
1544	4721	7501
1545	4723	7498
1546	4726	7495
1547	4730	7492
1548	4733	7489
1549	4735	7484
1550	4738	7481
1551	4741	7478
1552	4744	7475
1553	4746	7471
1554	4750	7468
1555	4752	7465
1556	4755	7462
1557	4758	7458
1558	4761	7454
1559	4763	7451
1560	4766	7448
1561	4769	7445
1562	4772	7441
1563	4775	7438
1564	4778	7434
1565	4781	7431
1566	4783	7427
1567	4787	7425
1568	4790	7421
1569	4793	7418
1570	4795	7415
1571	4798	7411
1572	4801	7408
1573	4804	7405
1574	4807	7401
1575	4808	7396
1576	4811	7392
1577	4813	7388
1578	4817	7385
1579	4819	7382
1580	4822	7379
1581	4825	7375
1582	4828	7371
1583	4831	7368
1584	4834	7365
1585	4836	7361
1586	4839	7357
1587	4841	7353
1588	4844	7350
1589	4846	7346
1590	4849	7342
1591	4852	7339
1592	4854	7335
1593	4857	7331
1594	4860	7328
1595	4863	7325
1596	4866	7322
1597	4868	7318
1598	4871	7314
1599	4874	7311
1600	4877	7308
1601	4880	7305
1602	4883	7302
1603	4885	7298
1604	4888	7294
1605	4890	7290
1606	4893	7286
1607	4895	7282
1608	4898	7279
1609	4901	7276
1610	4904	7272
1611	4906	7268
1612	4909	7265
1613	4912	7261
1614	4915	7258
1615	4917	7254
1616	4920	7251
1617	4923	7247
1618	4925	7243
1619	4928	7240
1620	4930	7236
1621	4933	7233
1622	4935	7229
1623	4938	7225
1624	4940	7220
1625	4943	7217
1626	4945	7212
1627	4947	7209
1628	4950	7204
1629	4952	7201
1630	4954	7196
1631	4957	7193
1632	4959	7188
1633	4963	7186
1634	4965	7183
1635	4968	7179
1636	4971	7175
1637	4973	7172
1638	4976	7168
1639	4979	7165
1640	4982	7161
1641	4984	7158
1642	4987	7154
1643	4989	7151
1644	4992	7147
1645	4995	7144
1646	4998	7141
1647	5001	7138
1648	5003	7133
1649	5006	7130
1650	5009	7127
1651	5012	7124
1652	5015	7120
1653	5016	7115
1654	5019	7111
1655	5021	7107
1656	5023	7103
1657	5026	7099
1658	5028	7095
1659	5031	7092
1660	5033	7088
1661	5035	7083
1662	5038	7080
1663	5041	7076
1664	5044	7074
1665	5046	7070
1666	5049	7066
1667	5051	7062
1668	5053	7058
1669	5056	7055
1670	5059	7051
1671	5061	7047
1672	5064	7043
1673	5066	7039
1674	5069	7036
1675	5071	7032
1676	5074	7029
1677	5077	7025
1678	5079	7022
1679	5082	7018
1680	5085	7015
1681	5087	7011
1682	5090	7008
1683	5093	7004
1684	5095	7001
1685	5098	6997
1686	5101	6994
1687	5103	6990
1688	5106	6986
1689	5109	6983
1690	5111	6978
